,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1162,NonResidential,Retail Store,98103.0,1972203060,6,LAKE UNION,47.65115,-122.35024,1.0,2,20516,Retail Store,98.0,1021796.625,42.04,105,0.0,0.0,0.0,0.0
1163,NonResidential,Retail Store,98103.0,1972203160,6,LAKE UNION,47.65019,-122.35013,1.0,3,27480,Retail Store,88.0,1215156.25,8.47,110,0.0,0.0,0.0,0.0
1165,NonResidential,Mixed Use Property,98103.0,1972203435,6,LAKE UNION,47.65061,-122.35159,1.0,1,46958,Office,95.0,1818867.875,30.32,69,0.0,0.5111452046457372,0.4307957600040574,0.05805903535020541
1166,NonResidential,Distribution Center,98103.0,1972203870,6,LAKE UNION,47.65214,-122.356,1.0,1,26532,Distribution Center,5.0,1934224.25,66.53,32,0.0,0.0,0.0,0.0
1167,NonResidential,Small- and Mid-Sized Office,98103.0,1972203920,6,LAKE UNION,47.65186,-122.35531,1.0,2,22388,Office,,576405.125,9.46,35,0.0,0.0,0.0,0.0
1168,NonResidential,Other,98103.0,1972204025,6,LAKE UNION,47.65138,-122.35565,1.0,1,30730,Other,,3050455.25,73.52,47,0.0,0.0,0.0,0.0
1169,NonResidential,Small- and Mid-Sized Office,98107.0,1972204350,6,LAKE UNION,47.65297,-122.35839,1.0,2,35600,Office,47.0,2173143.75,18.34,30,0.0,0.0,0.0,0.0
1171,NonResidential,Worship Facility,98119.0,1972204965,7,MAGNOLIA / QUEEN ANNE,47.64905,-122.36055,1.0,3,62000,Worship Facility,81.0,1799664.125,82.34,67,0.0,0.0,0.0,0.0
1172,NonResidential,Small- and Mid-Sized Office,98109.0,1972205940,7,MAGNOLIA / QUEEN ANNE,47.64805,-122.35534,1.0,2,23600,Office,82.0,776248.6875,5.41,35,0.0,0.0,0.0,0.0
1174,NonResidential,Small- and Mid-Sized Office,98109.0,1972206360,7,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,1.0,3,40067,Office,43.0,2303732.75,16.06,30,0.0,0.0,0.0,0.0
